,segment1,segment2,segment3,segment4
0,236.11414520000002,236.10732177499997,236.09798612499998,236.08613825
1,236.11414520000002,236.10732177499997,236.09798612499998,236.08613825
2,236.11414520000002,236.10732177499997,236.09798612499998,236.08613825
3,236.11414520000002,236.10732177499997,236.09798612499998,236.08613825
4,236.21656720000001,236.18921457500005,236.151781325,236.10426744999995
5,0.0,0.0,0.0,0.0
6,236.12370434999997,236.11635942499996,236.10630847499996,236.0935515000001
7,236.51767860000004,236.2584805000001,235.90382949999986,235.4537256000001
8,236.51767860000004,236.2584805000001,235.90382949999986,235.4537256000001
9,236.51767860000004,236.2584805000001,235.90382949999986,235.4537256000001
10,236.51767860000004,236.2584805000001,235.90382949999986,235.4537256000001
11,236.51767860000004,236.2584805000001,235.90382949999986,235.4537256000001
12,236.51767860000004,236.2584805000001,235.90382949999986,235.4537256000001
13,605.99544,605.99012,605.98284,605.9736
14,603.5983583999999,603.5964432,603.5938224,603.590496
15,626.90766,626.79993,626.6525099999999,626.4653999999996
16,626.90766,626.79993,626.6525099999999,626.4653999999996
17,604.7970816,604.7936768,604.7890176,604.783104
18,607.492875,607.4845625,607.4731875,607.45875
19,609.43868835,609.425491425,609.4074324750001,609.3845115000001
20,236.38765999999998,236.2799300000001,236.13251000000008,235.9453999999996
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,605.3188839,599.6952780749998,592.0000570250004,582.2332207499999
26,605.3188839,599.6952780749998,592.0000570250004,582.2332207499999
27,605.3188839,599.6952780749998,592.0000570250004,582.2332207499999
28,1204.5372063999994,1138.2789471999995,1047.6097504000008,932.5296159999934
29,1204.5372063999994,1138.2789471999995,1047.6097504000008,932.5296159999934
30,0.0,0.0,0.0,0.0
31,236.13168939999997,236.12199370000002,236.10872589999994,236.09188599999993
32,251.31013294999997,249.32744382499982,246.61440407500027,243.1710136999991
33,251.31013294999997,249.32744382499982,246.61440407500027,243.1710136999991
34,251.31013294999997,249.32744382499982,246.61440407500027,243.1710136999991
35,251.31013294999997,249.32744382499982,246.61440407500027,243.1710136999991
36,802.4251613999999,796.0378497000006,787.2973179,776.2035660000006
37,617.95896,617.9110799999999,617.8455600000001,617.7624
38,638.8073400000001,638.58257,638.27499,637.8846000000001
39,614.0748174,614.0454377000001,614.0052339000001,613.9542060000001
40,614.0748174,614.0454377000001,614.0052339000001,613.9542060000001
41,614.0748174,614.0454377000001,614.0052339000001,613.9542060000001
42,614.0748174,614.0454377000001,614.0052339000001,613.9542060000001
43,614.0748174,614.0454377000001,614.0052339000001,613.9542060000001
44,236.38271875000004,236.28089062499998,236.14154687500007,235.9646874999998
45,236.5083454,236.27308169999995,235.9511419000002,235.54252599999984
46,1272.1300000000003,1272.1299999999992,1272.130000000002,1272.1299999999997
47,699.9514687500002,698.4365156249996,696.363421875001,693.7321874999996
48,699.9514687500002,698.4365156249996,696.363421875001,693.7321874999996
